Wall time,Step,Value
1737322513.929679,0,0.3624582886695862
1737322519.6639059,1,0.41890788078308105
1737322525.3600984,2,0.3846966028213501
1737322531.0617592,3,0.4722248911857605
1737322536.7953181,4,0.5495125651359558
1737322542.5083385,5,0.3674647808074951
1737322548.2407045,6,0.40222135186195374
1737322553.972293,7,0.38351935148239136
1737322559.7311606,8,0.3594326674938202
1737322565.4585354,9,0.4072854816913605
1737322571.1742246,10,0.4183465242385864
1737322576.936856,11,0.43198761343955994
1737322582.6652355,12,0.38880670070648193
1737322588.391134,13,0.3696374297142029
1737322594.1235952,14,0.4181315302848816
1737322599.8566973,15,0.3910525441169739
1737322605.6315498,16,0.34052950143814087
1737322611.3537884,17,0.369219034910202
1737322617.0881858,18,0.4085078835487366
1737322622.823627,19,0.4169108271598816
1737322628.549756,20,0.4487244188785553
1737322634.2860134,21,0.3758590519428253
1737322640.103848,22,0.3790431022644043
1737322645.8754263,23,0.3616848587989807
1737322651.6395226,24,0.34932076930999756
1737322657.406471,25,0.46029040217399597
1737322663.2161152,26,0.33339935541152954
1737322668.9736435,27,0.3877536356449127
1737322674.7262716,28,0.40016698837280273
1737322680.4812744,29,0.4336981773376465
1737322686.243807,30,0.3219682574272156
1737322692.0361056,31,0.4097799062728882
1737322697.7711136,32,0.3395942151546478
1737322703.517402,33,0.34211260080337524
1737322709.2673087,34,0.3746495246887207
1737322715.0302455,35,0.3766911029815674
1737322720.825115,36,0.36301887035369873
1737322726.5841722,37,0.3692125678062439
1737322732.3409045,38,0.3775964379310608
1737322738.0971425,39,0.35555344820022583
1737322743.874201,40,0.35303962230682373
1737322749.6482346,41,0.37325263023376465
1737322755.4080832,42,0.41044899821281433
1737322761.177247,43,0.41615140438079834
1737322766.927796,44,0.3671228885650635
1737322772.6704936,45,0.37468138337135315
1737322778.414496,46,0.39856815338134766
1737322784.1504254,47,0.33254337310791016
1737322789.889975,48,0.33571287989616394
1737322795.6366646,49,0.3643913269042969
1737322801.3861942,50,0.34909701347351074
1737322807.1269057,51,0.41112616658210754
1737322812.8756526,52,0.37685930728912354
1737322818.6166759,53,0.3796162009239197
1737322824.3660116,54,0.34561455249786377
1737322830.1220665,55,0.4256761372089386
1737322835.8670952,56,0.3858415484428406
1737322841.5960243,57,0.3695692718029022
1737322847.3165593,58,0.39539432525634766
1737322853.0452712,59,0.3629346191883087
1737322858.766781,60,0.3407541811466217
1737322864.4971087,61,0.37641769647598267
1737322870.2441795,62,0.36868423223495483
1737322875.984539,63,0.36464476585388184
1737322881.720687,64,0.38074901700019836
1737322887.467497,65,0.356999933719635
1737322893.21382,66,0.3479553163051605
1737322898.9393582,67,0.45819106698036194
1737322904.6828523,68,0.3586505651473999
1737322910.4244506,69,0.36225342750549316
1737322916.1734118,70,0.3551177978515625
1737322921.918838,71,0.3602469563484192
1737322927.6890025,72,0.3530023992061615
1737322933.421935,73,0.36624786257743835
1737322939.1633475,74,0.3579939603805542
1737322944.9091287,75,0.3587725758552551
1737322950.6451142,76,0.37450581789016724
1737322956.3839364,77,0.40158066153526306
1737322962.1272752,78,0.35561221837997437
1737322967.8714638,79,0.3854220509529114
1737322973.6147118,80,0.3456125855445862
1737322979.3447576,81,0.359594464302063
1737322985.0875099,82,0.35975581407546997
1737322991.0617692,83,0.3640216290950775
1737322996.8050048,84,0.36031243205070496
1737323002.542561,85,0.39239734411239624
1737323008.2631605,86,0.43679478764533997
1737323014.054028,87,0.3309457302093506
1737323019.7902887,88,0.31629830598831177
1737323025.5058763,89,0.4111345410346985
1737323031.2504659,90,0.3730328679084778
1737323036.9913461,91,0.3493572771549225
1737323042.731337,92,0.36867770552635193
1737323048.4784977,93,0.3788694739341736
1737323054.222159,94,0.3882666826248169
1737323059.950802,95,0.385808527469635
1737323065.690042,96,0.37820619344711304
1737323071.432185,97,0.4441702961921692
1737323077.1630764,98,0.45323050022125244
1737323082.902897,99,0.3043907880783081
1737323088.643741,100,0.3697865903377533
1737323094.375129,101,0.3655965328216553
1737323100.1133018,102,0.3926960229873657
1737323105.848472,103,0.3517845571041107
1737323111.5779963,104,0.34240198135375977
1737323117.3150988,105,0.37218159437179565
1737323123.0445542,106,0.3761243522167206
1737323128.7721262,107,0.3985084295272827
1737323134.521356,108,0.4623541235923767
1737323140.2653332,109,0.38537847995758057
1737323145.9965274,110,0.4008846879005432
1737323151.7392344,111,0.37473028898239136
1737323157.4764192,112,0.3329235315322876
1737323163.217621,113,0.36703288555145264
1737323168.9616125,114,0.38664233684539795
1737323174.6955202,115,0.4031063914299011
1737323180.4422996,116,0.37826526165008545
1737323186.1879122,117,0.35953593254089355
1737323191.9364939,118,0.36299827694892883
1737323197.6669154,119,0.4109393060207367
1737323203.4105477,120,0.4100186824798584
1737323209.1414514,121,0.3710005581378937
1737323214.8719325,122,0.39006343483924866
1737323220.6145992,123,0.3668331503868103
1737323226.357724,124,0.37232938408851624
1737323232.0914443,125,0.37005043029785156
1737323237.8041275,126,0.36914774775505066
1737323243.5411253,127,0.38147228956222534
1737323249.3245757,128,0.3500407636165619
1737323255.0623305,129,0.4043141007423401
1737323260.7953537,130,0.36993834376335144
1737323266.5400212,131,0.37566930055618286
1737323272.2731686,132,0.33983415365219116
1737323278.0180974,133,0.3523232936859131
1737323283.7464616,134,0.336511492729187
1737323289.4741144,135,0.4280249774456024
1737323295.2181666,136,0.3968466520309448
1737323300.9537325,137,0.3305612802505493
1737323306.6918209,138,0.35048067569732666
1737323312.4294543,139,0.38871169090270996
1737323318.1836026,140,0.4000622630119324
1737323323.9266825,141,0.32712522149086
1737323329.6648655,142,0.3693503439426422
1737323335.3935754,143,0.4331446588039398
1737323341.1349342,144,0.36490434408187866
1737323346.8868434,145,0.34979939460754395
1737323352.6186855,146,0.3268479108810425
1737323358.359971,147,0.4271742105484009
1737323364.1063564,148,0.3475484848022461
1737323369.8378384,149,0.3754870593547821
1737323375.6111965,150,0.3605138659477234
